source,target,weight,common_tags
"aaron-krane
","susan-moon
",0.0,
"aaron-krane
","tadas-viskanta
",0.0,
"aaron-krane
","tamra-lichtman
",0.0,
"aaron-krane
","teddy-mekuria
",0.0,
"aaron-krane
","terry-shofner
",0.0,
"aaron-krane
","theodor-dalenson
",0.0,
"aaron-krane
","thomas-cully
",0.0,
"aaron-krane
","thomas-hodge
",0.0,
"aaron-krane
","thomas-maul
",0.0,
"aaron-krane
","thorsten-winternheimer
",1.0,CEO
"aaron-krane
","tim-donahoe
",0.0,
"aaron-krane
","tobin-arthur
",0.0,
"aaron-krane
","tom-quist
",0.0,
"aaron-krane
","tony-grey
",1.0,CEO
"aaron-krane
","tradestation-group
",0.0,
"aaron-krane
","trent-peterson
",1.0,millions
"aaron-krane
","trieu-pham
",0.0,
"aaron-krane
","ty-kalklosch
",1.0,company
"aaron-krane
","urmas-purde
",0.0,
"aaron-krane
","vaibhav-puri
",1.0,CEO
"aaron-krane
","vercess-caina
",0.0,
"aaron-krane
","viji-padma
",0.0,
"aaron-krane
","vincent-gombault
",0.0,
"aaron-krane
","vivek-kundra
",0.0,
"aaron-krane
","wachtell-lipton
",0.0,
"aaron-krane
","warren-simpson
",0.0,
"aaron-krane
","web-design-and-development
",0.0,
"aaron-krane
","wilfried-durand
",0.0,
"aaron-krane
","will-pugh
",0.0,
"aaron-krane
","william-j-beerworth
",0.0,
"aaron-krane
","william-peng
",0.0,
"aaron-krane
","william-welch
",1.0,company
"aaron-krane
","wojciech-sznapka
",0.0,
"aaron-krane
","youngho-yoon
",0.0,
"aaron-krane
","yury-melnichek
",1.0,Google
"aaron-white
","abraham-sultan
",0.0,
"aaron-white
","adam-caplan
",1.0,amp
"aaron-white
","adam-harrell
",0.0,
"aaron-white
","adam-marcus
",0.0,
"aaron-white
","addie-conner
",0.0,
"aaron-white
","aenor-sawyer
",1.0,amp
"aaron-white
","ajay-kulkarni
",0.0,
"aaron-white
","alan-spoon
",0.0,
"aaron-white
","alessandro-alinone
",0.0,
"aaron-white
","alex-odle
",0.0,
"aaron-white
","alex-smith-4
",0.0,
"aaron-white
","alfonso-hooker
",0.0,
"aaron-white
","ali-rajabi-shomali
",0.0,
"aaron-white
","allyson-kelley
",0.0,
"aaron-white
","alvaro-zamacola
",0.0,
"aaron-white
","amit-chaudhary-2
",0.0,
"aaron-white
","amjad-masad
",0.0,
"aaron-white
","anand-henry
",0.0,
"aaron-white
","anders-frejo-jorgensen
",0.0,
"aaron-white
","andres-blank
",1.0,co-founder
"aaron-white
","andrew-brown-4
",0.0,
"aaron-white
","andrew-dudum
",0.0,
"aaron-white
","andrew-heyward
",0.0,
"aaron-white
","andrew-nutter
",0.0,
"aaron-white
","andrew-w-hobson
",0.0,
"aaron-white
","andy-drish
",0.0,
"aaron-white
","andy-mai
",0.0,
"aaron-white
","andy-sparks
",0.0,
"aaron-white
","angela-kim
",0.0,
